Nodes,Density,Kruskal,Prim
100,0.1,0.000114916,0.000664667
100,0.2,0.000170291,0.000392958
100,0.3,0.000114375,0.000298833
100,0.4,0.000249375,0.000377209
100,0.5,0.000218,0.000409666
100,0.6,0.000234292,0.00045825
100,0.7,0.000268709,0.00046675
100,0.8,0.000313417,0.00046575
100,0.9,0.000295084,0.000437333
100,1,0.000340625,0.00046625
200,0.1,0.000183084,0.000497125
200,0.2,0.00032775,0.000767167
200,0.3,0.00043475,0.000837
200,0.4,0.000584667,0.000924209
200,0.5,0.000650833,0.00097975
200,0.6,0.000747375,0.00103283
200,0.7,0.000817333,0.000993209
200,0.8,0.000851542,0.00103846
200,0.9,0.00102337,0.00106917
200,1,0.00102279,0.00108383
300,0.1,0.00024,0.000670083
300,0.2,0.000461458,0.000881084
300,0.3,0.000655917,0.00102767
300,0.4,0.000896125,0.00124371
300,0.5,0.00110704,0.001393
300,0.6,0.00134767,0.00155008
300,0.7,0.00150854,0.00163225
300,0.8,0.00169496,0.00178663
300,0.9,0.00195929,0.00180725
300,1,0.00225954,0.00198708
400,0.1,0.000447542,0.00113329
400,0.2,0.000768583,0.00142342
400,0.3,0.00118275,0.00164683
400,0.4,0.00160525,0.00198054
400,0.5,0.00190179,0.00213583
400,0.6,0.00230425,0.00222813
400,0.7,0.00261846,0.0024705
400,0.8,0.00324925,0.00280733
400,0.9,0.0034685,0.00297046
400,1,0.00377171,0.003158
500,0.1,0.000630542,0.00137158
500,0.2,0.00120917,0.00186675
500,0.3,0.00179942,0.00228121
500,0.4,0.00236321,0.00262296
500,0.5,0.00310358,0.00324417
500,0.6,0.00353112,0.00327279
500,0.7,0.00412583,0.00355929
500,0.8,0.00476163,0.00370896
500,0.9,0.00529058,0.00410879
500,1,0.00599262,0.00428417
600,0.1,0.0008925,0.00174583
600,0.2,0.00170262,0.00245217
600,0.3,0.00255325,0.00306625
600,0.4,0.00338696,0.00349462
600,0.5,0.00419754,0.00385408
600,0.6,0.0050745,0.00425425
600,0.7,0.00625879,0.00505829
600,0.8,0.00683888,0.00501646
600,0.9,0.00761642,0.00552962
600,1,0.00852871,0.00599871
700,0.1,0.00119954,0.00225308
700,0.2,0.00230925,0.00305571
700,0.3,0.00351692,0.00410017
700,0.4,0.00460758,0.00446083
700,0.5,0.00592696,0.00504312
700,0.6,0.00692625,0.00573587
700,0.7,0.00813154,0.00589404
700,0.8,0.00929079,0.00717058
700,0.9,0.0103335,0.00735104
700,1,0.0114884,0.00787467
800,0.1,0.00156288,0.00297733
800,0.2,0.00315538,0.00411262
800,0.3,0.00464142,0.00483875
800,0.4,0.00614054,0.00550362
800,0.5,0.00755558,0.00606379
800,0.6,0.00960925,0.00744821
800,0.7,0.0105926,0.00763854
800,0.8,0.0120885,0.00851804
800,0.9,0.0135054,0.00910038
800,1,0.0150297,0.00966829
900,0.1,0.00199092,0.00327692
900,0.2,0.00385754,0.00466321
900,0.3,0.00571904,0.00566696
900,0.4,0.00765625,0.00655629
900,0.5,0.00955562,0.00780712
900,0.6,0.0118085,0.00889833
900,0.7,0.0144007,0.0100023
900,0.8,0.0154092,0.010404
900,0.9,0.0171692,0.0109655
900,1,0.0190685,0.0119997
1000,0.1,0.00240813,0.0037515
1000,0.2,0.00497046,0.00548158
1000,0.3,0.00706954,0.00667838
1000,0.4,0.0095475,0.00787733
1000,0.5,0.0117149,0.00935225
1000,0.6,0.0140359,0.0101625
1000,0.7,0.0164559,0.0112016
1000,0.8,0.0186516,0.0124966
1000,0.9,0.0212055,0.0135109
1000,1,0.0235804,0.0155104
